E(keV),LET(keV/um)
0.0011,0.382
0.0012,0.382
0.0013,0.3976
0.0014,0.4127
0.0015,0.4271
0.0016,0.4411
0.0017,0.4547
0.0018,0.4679
0.002,0.4932
0.00225,0.5231
0.00249999,0.5514
0.00274999,0.5784
0.00299999,0.6041
0.00324999,0.6287
0.00349999,0.6525
0.00374999,0.6754
0.00399999,0.6975
0.00449999,0.7398
0.00499999,0.7798
0.00549999,0.8179
0.00599999,0.8543
0.00649999,0.8892
0.00699999,0.9227
0.00799999,0.9864
0.00899999,1.046
0.00999999,1.103
0.0109999,1.157
0.0119999,1.208
0.0129999,1.257
0.0139999,1.305
0.0149999,1.351
0.0159999,1.395
0.0169999,1.438
0.0179999,1.48
0.0199999,1.56
0.0224999,1.654
0.0249999,1.744
0.0274999,1.829
0.0299999,1.91
0.0324999,1.988
0.0349999,2.063
0.0374999,2.136
0.0399999,2.206
0.0449999,2.34
0.0499999,2.466
0.0549999,2.586
0.0599999,2.701
0.0649999,2.812
0.0699999,2.918
0.0799999,3.119
0.0899999,3.309
0.0999999,3.488
0.11,3.658
0.12,3.82
0.13,3.976
0.139999,4.127
0.149999,4.271
0.159999,4.412
0.169999,4.547
0.179999,4.679
0.199999,4.932
0.224999,5.231
0.249999,5.514
0.274999,5.784
0.299999,6.041
0.324999,6.287
0.349999,6.525
0.374999,6.754
0.399999,6.975
0.449999,7.398
0.499999,7.799
0.549999,8.179
0.599999,8.543
0.649999,8.892
0.699999,9.228
0.799999,9.865
0.899999,10.46
0.999999,11.03
1.1,11.57
1.2,12.08
1.3,12.58
1.4,13.05
1.5,13.51
1.6,13.95
1.7,14.38
1.8,14.8
2,15.6
2.25,16.54
2.5,17.44
2.75,18.29
3,19.1
3.25,19.88
3.5,20.63
3.75,21.36
4,22.06
4.5,23.4
5,24.66
5.5,25.87
6,27.02
6.5,28.12
7,29.18
8,31.2
9,33.14
10,34.98
11,36.74
12,38.42
13,40.04
14,41.61
15,43.12
16,44.58
17,46.01
18,47.39
20,50.06
22.5,53.23
25,56.24
27.5,59.12
30,61.88
32.5,64.54
35,67.1
37.5,69.59
40,72
45,76.62
50,81.01
55,85.2
60,89.22
65,93.09
70,96.82
80,103.9
90,110.6
100,116.9
110,122.9
120,128.7
130,134.1
140,139.4
150,144.4
160,149.2
170,153.8
180,158.2
200,166.6
225,176.1
250,184.7
275,192.4
300,199.4
325,205.6
350,211.1
375,215.9
400,220.1
450,226.9
500,231.7
550,234.7
600,236.4
650,236.9
700,236.5
800,233.5
900,228.6
1000,222.7
1100,216.3
1200,209.6
1300,203.1
1400,196.7
1500,190.6
1600,184.7
1700,179.2
1800,173.9
2000,164.3
2250,154
2500,144
2750,136
3000,129
3250,122
3500,116
3750,111
4000,107
4500,98.2
5000,91.3
5500,85.4
6000,80.2
6500,75.7
7000,71.8
8000,65.1
9000,60.8
10000,56.4
11000,52.3
12000,48.9
13000,45.9
14000,43.3
15000,41
16000,38.9
17000,37.1
18000,35.4
20000,32.6
22500,29.6
25000,27.2
27500,25.2
30000,23.5
32500,22
35000,20.8
37500,19.6
40000,18.6
45000,16.9
50000,15.5
55000,14.4
60000,13.4
65000,12.5
70000,11.8
80000,10.6
90000,9.6
100000,8.81
110000,8.15
120000,7.59
130000,7.11
140000,6.7
150000,6.33
160000,6.01
170000,5.73
180000,5.47
200000,5.03
225000,4.58
250000,4.21
275000,3.91
300000,3.66
325000,3.44
350000,3.25
375000,3.08
400000,2.94
450000,2.69
500000,2.5
550000,2.33
600000,2.19
650000,2.08
700000,1.98
800000,1.81
900000,1.68
1000000,1.575
1100000,1.489
1200000,1.42
1300000,1.36
1400000,1.31
1500000,1.26
1600000,1.22
1700000,1.19
1800000,1.16
2000000,1.11
2250000,1.05
2500000,1.01
2750000,0.983
3000000,0.957
3250000,0.936
3500000,0.918
3750000,0.904
4000000,0.891
