Kinetic energy (MeV),LET electronic (keV/µm),LET nuclear (keV/µm),LET total (keV/µm),,Nuclear on total
,,,,,
0.001,9.89,22.82,32.71,,69.7645979822684
0.0015,12.3,20.78,33.05,,62.874432677761
0.002,14.3,19.12,33.42,,57.2112507480551
0.0025,16.1,17.75,33.86,,52.4217365623154
0.003,17.8,16.6,34.35,,48.3260553129549
0.004,20.7,14.77,35.46,,41.6525662718556
0.005,23.3,13.36,36.67,,36.433051540769
0.006,25.7,12.25,37.93,,32.2963353546006
0.007,27.9,11.33,39.21,,28.8956898750319
0.008,29.9,10.56,40.49,,26.0805137070882
0.009,31.9,9.908,41.77,,23.720373473785
0.01,33.7,9.341,43.04,,21.7030669144981
0.0125,38,8.206,46.15,,17.7811484290358
0.015,41.8,7.347,49.16,,14.9450772986168
0.0175,45.4,6.671,52.05,,12.8165225744476
0.02,48.7,6.123,54.84,,11.1652078774617
0.0225,51.9,5.667,57.52,,9.85222531293463
0.025,54.8,5.282,60.12,,8.78576180971391
0.0275,57.7,4.952,62.63,,7.9067539517803
0.03,60.4,4.665,65.06,,7.1703043344605
0.035,65.5,4.189,69.71,,6.00918089226797
0.04,70.3,3.811,74.11,,5.14235595736068
0.045,74.8,3.501,78.3,,4.47126436781609
0.05,79.1,3.242,82.3,,3.93924665856622
0.055,83.1,3.023,86.12,,3.51021830004645
0.06,87,2.834,89.8,,3.15590200445434
0.065,90.7,2.669,93.33,,2.85974499089253
0.07,94.2,2.524,96.74,,2.60905519950383
0.075,97.6,2.396,100,,2.396
0.08,101,2.281,103.2,,2.21027131782946
0.085,104,2.178,106.3,,2.04891815616181
0.09,107,2.084,109.3,,1.90667886550778
0.095,110,1.999,112.2,,1.78163992869875
0.1,113,1.921,115.1,,1.66898349261512
0.125,127,1.614,128.1,,1.25995316159251
0.15,138,1.397,139.7,,1
0.175,149,1.235,150,,0.823333333333333
0.2,158,1.109,159.3,,0.696170747018205
0.225,167,1.008,167.7,,0.601073345259392
0.25,174,0.9253,175.2,,0.528139269406393
0.275,181,0.8559,182,,0.470274725274725
0.3,187,0.7969,188.1,,0.423657628920787
0.35,198,0.7017,198.5,,0.353501259445844
0.4,206,0.6282,206.9,,0.30362493958434
0.45,213,0.5694,213.4,,0.266822867853796
0.5,218,0.5214,218.4,,0.238736263736264
0.55,222,0.4813,222,,0.216801801801802
0.6,224,0.4473,224.5,,0.19924276169265
0.65,226,0.4181,226,,0.185
0.7,226,0.3927,226.6,,0.173300970873786
0.75,226,0.3703,226.6,,0.163415710503089
0.8,226,0.3506,226,,0.155132743362832
0.85,225,0.333,224.8,,0.148131672597865
0.9,223,0.3171,223.3,,0.142006269592476
0.95,221,0.3028,221.5,,0.136704288939052
1,219,0.2898,219.3,,0.132147742818057
1.25,205,0.2393,205.2,,0.116617933723197
1.5,190,0.2045,189.8,,0.107744994731296
1.75,175,0.179,175.4,,0.102052451539339
2,162,0.1594,162.5,,0.0980923076923077
2.25,151,0.1439,151.2,,0.0951719576719577
2.5,141,0.1312,141.5,,0.0927208480565371
2.75,133,0.1207,133,,0.0907518796992481
3,126,0.1119,125.7,,0.0890214797136038
3.5,113,0.0977,113.3,,0.0862312444836717
4,103,0.08686,103.5,,0.0839227053140097
4.5,95.3,0.07828,95.35,,0.0820975353959098
5,88.5,0.07132,88.55,,0.0805420666290232
5.5,82.7,0.06554,82.75,,0.079202416918429
6,77.7,0.06066,77.77,,0.077999228494278
6.5,73.3,0.05649,73.4,,0.0769618528610354
7,69.5,0.05288,69.54,,0.0760425654299684
7.5,66.1,0.04973,66.12,,0.0752117362371446
8,63,0.04694,63.06,,0.0744370440849984
8.5,60.3,0.04447,60.3,,0.0737479270315091
9,57.8,0.04225,57.8,,0.0730968858131488
9.5,55.5,0.04025,55.52,,0.0724963976945245
10,53.4,0.03844,53.44,,0.0719311377245509
12.5,45.1,0.03145,45.17,,0.0696258578702679
15,39.3,0.02667,39.3,,0.0678625954198473
17.5,34.9,0.02319,34.89,,0.0664660361134996
20,31.4,0.02054,31.46,,0.0652892561983471
25,26.4,0.01676,26.41,,0.0634608102991291
27.5,24.5,0.01535,24.49,,0.0626786443446305
30,22.8,0.01417,22.86,,0.0619860017497813
35,20.2,0.01229,20.21,,0.0608114794656111
40,18.2,0.01087,18.16,,0.0598568281938326
45,16.5,0.009743,16.52,,0.0589769975786925
50,15.2,0.008833,15.17,,0.0582267633487146
55,14,0.008081,14.05,,0.0575160142348754
60,13.1,0.007448,13.09,,0.0568983957219251
65,12.3,0.006909,12.27,,0.0563080684596577
70,11.6,0.006443,11.55,,0.0557835497835498
75,10.9,0.006037,10.92,,0.0552838827838828
80,10.4,0.005679,10.37,,0.0547637415621986
85,9.86,0.005363,9.869,,0.0543418786097882
90,9.42,0.00508,9.421,,0.0539220889502176
95,9.01,0.004827,9.017,,0.0535322169235888
100,8.65,0.004598,8.649,,0.0531622152850041
125,7.22,0.003718,7.219,,0.0515029782518354
150,6.23,0.003121,6.232,,0.0500802310654686
175,5.51,0.002689,5.508,,0.0488198983297023
200,4.95,0.002362,4.952,,0.0476978998384491
225,4.51,0.002108,4.512,,0.0467198581560284
250,4.15,0.001903,4.154,,0.0458112662493982
275,3.86,0.001734,3.857,,0.0449572206378014
300,3.6,0.001593,3.606,,0.0441763727121464
350,3.21,0.00137,3.206,,0.0427323767935122
400,2.9,0.001201,2.901,,0.0413995174077904
450,2.66,0.001069,2.66,,0.040187969924812
500,2.46,0.0009637,2.465,,0.0390953346855984
550,2.3,0.0008773,2.303,,0.0380937907077725
600,2.17,0.0008053,2.168,,0.0371448339483395
650,2.05,0.0007441,2.052,,0.0362621832358675
700,1.95,0.0006914,1.952,,0.0354200819672131
750,1.87,0.0006455,1.865,,0.0346112600536193
800,1.79,0.0006052,1.789,,0.0338289547233091
850,1.72,0.0005697,1.721,,0.033102847181871
900,1.66,0.0005382,1.661,,0.0324021673690548
950,1.61,0.0005101,1.607,,0.0317423771001867
1000,1.56,0.0004848,1.558,,0.0311168164313222
